"2005","TRSingle","Income_1","0.0","7300.0","10.0"
"2005","TRSingle","Income_2","7301.0","29700.0","15.0"
"2005","TRSingle","Income_3","29701.0","71950.0","25.0"
"2005","TRSingle","Income_4","71951.0","150150.0","28.0"
"2005","TRSingle","Income_5","150151.0","326450.0","33.0"
"2005","TRSingle","Income_6","326451.0","","35.0"
"2005","TRSingle","Long-Term Capital Gains","15.0"
"2005","TRSingle","Dividends","20.0"
"2005","TRSingle","Standard Deduction","5000.0"
"2005","TRSingle","Exemption Amount","3200.0"
"2005","TRSingle","Exemption Cutoff","145950.0"
"2005","TRSingle","Maximum Capital Loss","3000.0"
"2005","TRSingle","Blind","1250.0"
"2005","TRSingle","Over 65","1250.0"
"2005","TRSingle","Deduction Cutoff","145950.0"
"2005","TRJoint","Income_1","0.0","14300.0","10.0"
"2005","TRJoint","Income_2","14301.0","58100.0","15.0"
"2005","TRJoint","Income_3","58101.0","117250.0","25.0"
"2005","TRJoint","Income_4","117251.0","178650.0","28.0"
"2005","TRJoint","Income_5","178651.0","326450.0","33.0"
"2005","TRJoint","Income_6","326451.0","","35.0"
"2005","TRJoint","Long-Term Capital Gains","20.0"
"2005","TRJoint","Dividends","20.0"
"2005","TRJoint","Standard Deduction","9700.0"
"2005","TRJoint","Exemption Amount","3200.0"
"2005","TRJoint","Exemption Cutoff","218950.0"
"2005","TRJoint","Maximum Capital Loss","3000.0"
"2005","TRJoint","Blind","1000.0"
"2005","TRJoint","Over 65","1000.0"
"2005","TRJoint","Deduction Cutoff","145950.0"
"2005","TRSeparate","Income_1","0.0","7300.0","10.0"
"2005","TRSeparate","Income_2","7301.0","29700.0","15.0"
"2005","TRSeparate","Income_3","29701.0","59975.0","25.0"
"2005","TRSeparate","Income_4","59976.0","91400.0","28.0"
"2005","TRSeparate","Income_5","91401.0","163225.0","33.0"
"2005","TRSeparate","Income_6","163226.0","","35.0"
"2005","TRSeparate","Long-Term Capital Gains","20.0"
"2005","TRSeparate","Dividends","20.0"
"2005","TRSeparate","Standard Deduction","5000.0"
"2005","TRSeparate","Exemption Amount","3200.0"
"2005","TRSeparate","Exemption Cutoff","109475.0"
"2005","TRSeparate","Maximum Capital Loss","1500.0"
"2005","TRSeparate","Blind","1000.0"
"2005","TRSeparate","Over 65","1000.0"
"2005","TRSeparate","Deduction Cutoff","72975.0"
"2005","TRHHouse","Income_1","0.0","10450.0","10.0"
"2005","TRHHouse","Income_2","10451.0","39800.0","15.0"
"2005","TRHHouse","Income_3","39801.0","102800.0","25.0"
"2005","TRHHouse","Income_4","102800.0","166450.0","28.0"
"2005","TRHHouse","Income_5","166451.0","326450.0","33.0"
